description,youtube,title,organiztion,category,ps number,domain bucket,img
" Artificial Intelligence (Al) and Machine Learning solutions for Police functions like Identity Resolution on disjoined databases, Natural Language Processing over Indian Languages, Speech to Text converters in Indian Languages, etc.",,Artificial Intelligence (Al) and Machine Learning solutions for Police functions,NATIONAL CRIME RECORDS BUREAU,Software,SK213,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Mobile Apps for Citizens and Police for management of crime records, beats, resource allocation, form fillings, request for NOC, appointments etc",,Mobile Apps for Citizens and Police for management of crime records,NATIONAL CRIME RECORDS BUREAU,Software,SK215,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Data Crawlers to collect data on given Keywords from the web in areas of child and woman abuse, cyber bullying, pornography, etc.",,Data Crawlers to collect data,NATIONAL CRIME RECORDS BUREAU,Software,SK216,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
Please see Attachment,,Monitoring and Evaluation of Higher Educational Institutions in Andhra Pradesh,Government of Andhra Pradesh,Software,KB219,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Detecting Poor Telecom Connectivity (Cellular) regions
using user device signal strength.
An APP based solution may be developed for Detecting
Poor Telecom Connectivity (Cellular) regions using user
devise signal strength along with geo coordinates of the
user to a central server. Government authorities can use
that information to assess the poor coverage regions and
take necessary steps to address the issue of poor coverage",,Detecting Poor Telecom Connectivity (Cellular) regions using user device signal strength,Ministry of Communications,Software,PJ234,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Mapping of Telecom infrastructure in GIS application. At
present GIS based DBT mobile app has feature to search
ATM, Bank Branches, Bank Mitras and places. If this DBT
app include the details of Telecom Infrastructure (Mobile
Towers Wi-Fi Hotspots/APs, Telephone exchanges etc.)
then it would be more useful for Public Government
authorities can also use this information to facilitate Eservices and to provide coverage in Telecom uncovered
areas.",,Mapping of Telecom infrastructure in GIS application,Ministry of Communications,Software,PJ235,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
To develop an app and SMS based application which can register the grey market complaint,,To develop an app and SMS based application which can register the grey market complaint,Ministry of Communications,Software,PJ239,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Development of platform for dialling single emergency no SDC (Short digit code) or just pressing a button in mobile phone using any of the available mobile network,
which will send the live location of the customer to a predetermined server which is to be integrated with the server meant for action program of Disaster management team.",,Development of platform for dialing single emergency no SDC (Short digit code),Ministry of Communications,Software,PJ240,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Inspection is critical point of manufacturing process as it helps to determine quality and quantity orders, by making this inspection process automated using software processes, the cost of inspection in long run can be reduced and good quality of the bales can be assured, with minimum human errors. This process can be further associated to marking, packaging and loading accurately.
For instance, can there be a digital solution to ensure that only those bales that are inspected are dispatched to the consignee without tampering of the pack-sheet. In such case of tampering, whether it is possible to generate sirens with help of digital, tamperproof tags",,Automated Inspection of manufacturing Process,"National Jute Board, Min of Textiles",Software,AR244,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Can some cost-effective digital solution (on the lines of RFID) be provided after packaging the bales to track the goods through its delivery path and ensure safe delivery at the consignee’s end? This will help to ensure that no goods are lost in transit. In case of good lost, the same can be traced back and delivered to consignee.",,Software to track the goods through its delivery path and ensure safe delivery,"National Jute Board, Min of Textiles",Software,AR245,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
Implementing and tracking of certified jute seeds packaging from the suppliers to jute farmers in india.,,Solution For Implementing and tracking of certified jute seeds packaging from the suppliers to jute farmers in india.,"National Jute Board, Min of Textiles",Software,AR247,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Cotton is a commodity, which is perhaps 
 the most volatile among all the agricultural commodities traded. Due to high voiatility in cotton prices, it is very difficult to predict the future market trend and accordingly sales strategy so as to compete in the market and increase the volume of the corporation for sustainable growth. Thus, Artificial Intelligence based solution which may calculate the probability of future market trend on the basis of past years data and suggest a suitable pricing model for sale of cotton",,Artificial Intelligence based solution which may calculate the probability of future market trend on the basis of past years data and suggest a suitable pricing model for sale of cotton,"National Jute Board, Min of Textiles",Software,AR256,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Development of repository of tribal youth talent from various areas such as sports, arts, paintings, dance, culture, social service or any specific area. The specialized agencies/authorities involved in promoting such events could also reach out to these individuals for promoting them for advance training or any other support",,"Development of repository of tribal youth talent from various areas such as sports, arts, paintings, dance, culture, social service or any specific area.",Ministry of Tribal Affairs,Software,DN262,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
Estimation of crop progression particularly in rainy season much crop may be severally affected by aberrant Monsoon/flood/drought and immediate response is needed to help farmers (This will help in policy formulation for contingent planning etc.),,Estimation of crop progression,Govt. of Bihar (DOA),Software,NS269,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
Estimation of crop yield using modern ICT tools which is quick and reliable for making a realistic plan for procurement and to compensate farmers for yield loss if any. (current methods take months in crop cutting experiments and farmers have to wait for months to get compensated in case of loss etc.),,Estimation of crop yield using modern ICT tools which is quick and reliable for making a realistic plan for procurement and to compensate farmers for yield loss if any.,Govt. of Bihar (DOA),Software,NS270,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" Design a system to capture face, expression and gesture of targeted persons (Criminals) through distributed CCTV System and maintaining it in a database along with time and location stamp. The database so compiled to be used to identify suspects from video clips of crime related CCTV footages captured  series of CCTV Systems located on routes and close to scene of crime",,"Face, expression and gesture recognition and compilation in database software",Govt. of Madhya Pradesh,Software,MS331,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
System would focus on capturing and saving  various attributes of clothes/ fabrics worn by targeted persons captured from various CCTV Systems through distributed intelligence (software) along with time and location stamp over the period in a database. The database so compiled to be used to identify suspects from video clips of crime related CCTV footages captured  series of CCTV Systems located on routes and close to scene of crime,,Textile (clothes) recognition and compilation in database software,Govt. of Madhya Pradesh,Software,MS332,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" It would focus and capture various attributes of vehicles (Type of vehicle, model of vehicle, Colour, Number Plate of vehicle, Peculiar attachments, accessories, marking including dent marks) captured from various CCTV Systems through distributed intelligence (software) along with time and location stamp over the period of various targeted persons. The database so compiled to be used to identify suspects from video clips of crime related CCTV footages captured  series of CCTV Systems located on routes and close to scene of crime",,Vehicle recognition and compilation in database software,Govt. of Madhya Pradesh,Software,MS333,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" It would focus and capture various attributes of baggage and other accessories (Type, make, Colour, company, peculiarities,  attachments, signs and marking including damage marks) captured from various CCTV Systems through distributed intelligence (software) along with time and location stamp over the period of various targeted persons. The database so compiled to be used to identify suspects from video clips of crime related CCTV footages captured  series of CCTV Systems located on routes and close to scene of crime",,Baggage and other accessories recognition and compilation in database software,Govt. of Madhya Pradesh,Software,MS334,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
It would identify criminals from running CCTV streams on the basis of peculiar gestures and body movements and physical movements,,"Identification of suspects based on their gestures, gait, BMI (Body Mass Index) and motions or objectionable/ illegal/ improper behavior and gesture of the police (Datasets will be provided on request)",Govt. of Madhya Pradesh,Software,MS335,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Designing a Virtual Police Station in which animated police officer would be used to interact with victim/victims to capture all the details with respect to identity of complainant, details of the incidence or crime committed will extract supplementary information to capture ingredient of the crimes committed, identity of criminals and likely witnesses the same would be converted in text format as an FIR which would be signed by the complaint/ victim through OCR device and verified through digital signature (using OTP based verification of Aadhar). The signed FIR would be routed to CCTNS system using Citizen Portal Bridge already available. Allowing OCR and Digital Signature of SHO to convert it in formal/ legally acceptable FIR.",,Developing Virtual Police Station to receive FIR with OCR based digital signature authenticated through digital signature (Aadhar Number based authentication).,Govt. of Madhya Pradesh,Software,MS336,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Software should all documents formats of printed or typed documents and would convert them in text. The analytical tools would be used to identify the critical information available on the documents and would be stored along with identity of documents, crime number ((Thus linking it with all the attributes of the crime through this primary key), identify of document, authorship and other attributes):
1.	Investigation Leads would be identified and would be pushed to Investigation Officer, Volunteers, Observers or the stakeholders as the case may be
2.	Evidences would be saved with # value along with who would prove it in court. Certificate of legal admissibility, relevance and integrity would be provided. Certificates under 65 B would be auto generated to certify the process and authenticity",,Converting typed or printed document images (photos) to legible text documents and storing the critical information in a database and protecting the digital image with # value so that document is admissible as evidence.,Govt. of Madhya Pradesh,Software,MS337,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Software should all documents formats of handwritten documents and would convert them in legible text. The analytical tools would be used to identify the critical information available on the documents and would be stored along with identity of documents, crime number ((Thus linking it with all the attributes of the crime through this primary key), identify of document, authorship and other attributes):
1.	Investigation Leads would be identified and would be pushed to Investigation Officer, Volunteers, Observers or the stakeholders as the case may be
2.	Evidences would be saved with # value along with who would prove it in court. Certificate of legal admissibility, relevance and integrity would be provided. Certificates under 65 B would be auto generated to certify the process and authenticity",,Converting hand written documents as scanned images or photos (in any format) to legible text document using AI extracting important and critical information into database.,Govt. of Madhya Pradesh,Software,MS338,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Designing a web portal and Apps to capture all the details with respect to identity of complainant, details of the incidence or crime committed will extract supplementary information to capture ingredient of the crimes committed, identity of criminals and likely witnesses the same would be converted in text format as an FIR which would be signed by the complaint/ victim through OCR device and verified through digital signature (using OTP based verification of Aadhar). The signed FIR would be routed to CCTNS system using Citizen Portal Bridge already available. Allowing OCR and Digital Signature of SHO to convert it in formal/ legally acceptable FIR.",,"Web, portal and Apps for facilitating reporting of offences for registration of FIR with provision OCR based signature along with Aadhar based digital signature",Govt. of Madhya Pradesh,Software,MS339,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Requisitioning of Data, Information and Documents from various institutions, organizations and departments based on various probability using AI etc (using both API based and nodal officer channels) with automated  follow up and monitoring  provisions:-
a.	Telecom Service Providers:
i.	CDRs
ii.	PSTN Dumps
iii.	VLR Dumps
iv.	CAF
v.	SMS Tags related data
b.	Financial Institutions and Banks:
i.	IDs related data
ii.	Transaction related data
c.	Movement related information:
i.	Railways
ii.	Airlines
iii.	Roadway
d.	CCTV footages:
i.	Police CCTV Systems
ii.	Smarts City CCTV Systems
iii.	Malls and other business centers’ CCTV Systems
iv.	Private Institutions and Individuals CCTV Systems",,"Requisitioning of data, information and documents",Govt. of Madhya Pradesh,Software,MS340,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" App based portrait building software from the photos of the criminals available with us.
-  Extracting representative features of eyes, eye brow, forehead, nose, ears, beard, hair styles etc in various classes
- Extracting broad features of a face 
- Projecting these attributes for choosing close representatives of suspects/ criminals
- Integration and polishing to get close representation of real suspects/ criminals.",,App based portrait building system,Govt. of Madhya Pradesh,Software,MS342,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Development of App for measurement of Air and water turbidity using smartphone.

Air Quality: It would involve imaging sun by placing appropriate light diffusing mechanism in mobile, developing App for image processing taking care of different sun viewing geometry to estimate the atmospheric optical thickness. 

Water Quality: It would involve imaging water through mobile and developing App for image processing to estimate turbidity of water. Data set Link: https://vedas.sac.gov.in/vcms/en/sih2020.html",,Air/Water turbidity estimation mobile app,Indian Space Research Organisation (ISRO),Software,NM370,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Design and Implement algorithm for automated mapping of trees/plantation and farmland from 5m multispectral multi-temporal (LISS IV) data. 

Participants need to develop algorithm for automatically classifying vegetation areas as either farm or tree/plantation by analysing seasonal changes apparent in multi-temporal satellite imagery. Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Automated mapping of trees/farms in satellite image,Indian Space Research Organisation (ISRO),Software,NM371,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
" For a given set of multispectral multi-temporal data with timestamp of one year or more, develop and implement an algorithm for extracting crop cycle parameters.

Participants need to develop a high-performance algorithm to analyse multi-temporal data at each pixel to extracting parameters such as date of sowing, date of harvesting and number of harvests based on temporal profile. 
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Extraction of crop cycle parameters from multi-temporal data,Indian Space Research Organisation (ISRO),Software,NM372,Agriculture and Rural Development,https://www.sih.gov.in/uploads/logo/no_image.png
" INSAT-3D and INSAT-3DR are two geostationary meteorological satellites of India having 6 channel Imager and 19 channel Sounder payloads. The imagery captured in the visible range by INSAT satellite can be used to detect clouds.

Participants need to develop and implement algorithm to detect clouds in INSAT satellite images and predict the location of clouds in subsequent images.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Detecting clouds and predicting their movement from INSAT imagery,Indian Space Research Organisation (ISRO),Software,NM373,Energy / Renewable Energy,https://www.sih.gov.in/uploads/logo/no_image.png
" INSAT-3D and INSAT-3DR are two geostationary meteorological satellites of India having 6 channel Imager and 19 channel Sounder payloads.  INSAT-3D and INSAT-3DR Imager acquire images over its footprint every 30 Min. In order to have better revisit these satellites are programmed to acquire images in staggered mode, which provides images over Indian region every 15 Min.

Nowcasting refers to forecasting for a shorter duration (3 to 6 Hrs.). Nowcasting of meteorological images will help in forecasting images with for next 3 hrs.

These Nowcasted images help synoptic meteorologists, administrators and common man for better interpretation and decision support during extreme weather events. 

Machine learning (ML) provides techniques for predicting the new outcomes based on previously known results and Artificial Intelligence (AI) helps in decision making.

Develop an AI/ML based software to generate nowcasted satellite images and its animation loop for next 3 Hrs. at an interval of 30 Min. using data form INSAT-3D and INSAT-3DR.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Nowcasting of Meteorological Satellite Images using AI/ML techniques,Indian Space Research Organisation (ISRO),Software,NM374,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Develop an app to visualize globe in augmented reality on any surface. (Participants can use any physical marker or placeholder). 

When viewing the physical marker/placeholder from the phone camera, an augmented reality globe must appear over the placeholder. Moving the camera

It should be possible to overlay any OGC Web Map Service (WMS) on the globe. The application must provide interface for selecting the data to be overlaid on the globe.",,Web-map data visualization using augmented reality globe,Indian Space Research Organisation (ISRO),Software,NM377,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Develop a mobile application that can identify crop using only field photo of a crop. The team must target at-least 10 different crops for demonstration.

The application will allow the user to take photos and automatically identify the crop. The photo and crop information along with geolocation information should be stored in an internal database which can be exported/emailed.",,AI based crop identification mobile app,Indian Space Research Organisation (ISRO),Software,NM378,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Develop a mobile application for recording and playing geotagged videos. 

Unlike photos in which geotag data is of a single point and orientation pair, for videos geotag data is a sequence of point and orientation pairs.  

The mobile application should have two views. In one view the recorded video should play while simultaneously plotting field-of-view (orientation) cone and marker on an interactive map in the other view in a synchronized manner.

The position shown on the map should match the play position of the video.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,App for recording and playing geo tagged videos,Indian Space Research Organisation (ISRO),Software,NM380,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Generating local sky horizon has important applications for analysis of solar energy potential in an urban setting.

Develop a mobile application for automatically detecting sky pixels in a photograph. The application should generate a mask image consisting of sky pixels marked in white colour in the image and other pixels marked in black colour.

Further, using information about camera optics, the application should give angle of elevation of the lowest sky pixel for all pixel columns in the mask image. 
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,App for identification of sky regions in a photo,Indian Space Research Organisation (ISRO),Software,NM381,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
Monitoring the battery life of Electric Vehicles.,,Monitoring the battery life of Electric Vehicles.,Ministry of Power,Software,LN382,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Develop an application for automatically planning a route (for shortest time to cover area) and schedule of drones for mapping a given area. The input provided will be.

1)	Map of area to be covered. (Shapefile)
2)	Number of drones.
3)	Range (in km based on battery life)
4)	Top speed
5)	Location of automatic charging station

The software must have features for visualizing a simulated animation of the plan.",,Drone route planning,Indian Space Research Organisation (ISRO),Software,NM383,Security & Surveillance,https://www.sih.gov.in/uploads/logo/no_image.png
" Develop application to visualize Earth/Moon globe in virtual reality using a wearable mobile based headset (using Google Cardboard VR or similar technology).

User should be able to select a location (e.g. peak of mount Everest) and explore the area in virtual reality in 3D as if he/she was present there. 
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Virtual reality based Earth/Moon explorer,Indian Space Research Organisation (ISRO),Software,NM385,Software - Mobile App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Develop a deep-learning based software for automatically classifying land-use from multi-temporal multi-spectral high-resolution satellite imagery.  

The developed model should be scalable/efficient to allow rapid mapping of incoming datasets and must incorporate a web-based viewer for visualizing input as well as classified output. The viewer interface must also allow the user to visualize changes that have occurred within a given timeframe.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Automated land use classification using AI/ML,Indian Space Research Organisation (ISRO),Software,NM386,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
" Apart from determining location, GNSS can also be used for estimating geophysical parameters using its reflected signal. Based on the satellite altitude/position, the receivers receive reflected signals from a particular region. The reflected signals get changed with change in the surface and terrain characteristics.

In this problem, the teams need to develop a software suite that will provide the following features.

•	Run dynamic simulations to identify the reflected signal area coverage of a particular satellite with its time and position.
•	Tool to analyse the effect of the obstacle in the identified coverage area.

The teams will be provided the following input
•	Orbital parameters of all GNSS satellites
•	Digital elevation model of the study area
•	On ground locations of the GNSS receivers",,GNSS Reflected Signal Coverage Simulator,Indian Space Research Organisation (ISRO),Software,NM387,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Hyperspectral Remote Sensing data provides data in large contiguous number more than 100 wavelength bands. In hyperspectral data the feature and its abundance is measured using its spectral response across these bands. Each feature behaves differently in different wavelength band and sensitive to particular wavelength region.

Develop a tool to analyse the spectrum of each pixel in a hyperspectral remote sensing data cube for absorption dip, width of absorption and other characteristics at different percentile of the absorption depth. The developed tool must also provide functionality to prepare map of each of these properties and its visualization.",,Hyperspectral image analysis tool,Indian Space Research Organisation (ISRO),Software,NM388,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" The numerical weather models are used for generating forecast, these model forecast contains 4D information (i.e., Latitude, Longitude, Height/pressure and Time). These model forecasts are Gridded at a defined sampling interval, and are very useful for planning and decision supports.

WebGL is a Javascript API for rendering high-performance interactive 3D and 2D graphics.
The participants must develop a web-based tool for 3D/4D visualization of model forecast.",,Web based volume rendering and 3D/4D visualization of Model Forecast,Indian Space Research Organisation (ISRO),Software,NM389,Software - Web App development,https://www.sih.gov.in/uploads/logo/no_image.png
" Sub-surface information of the ocean like the mixed layer depth (MLD), sonic layer depth (SLD), tropical cyclone heat potential (TCHP) etc. is very useful in wide variety of applications such as air-sea interaction studies, Naval applications, cyclone genesis and forecasting etc. This information is available either from in situ measurements or from Numerical models. 

In situ measurements in the ocean are quite sparse while the numerical models have inherent errors in simulating this information. Satellites provide wide spatial coverage of the oceans; however, they only give ocean surface information. Assuming that the derived quantities of the deeper ocean such as MLD, SLD, TCHP etc have signatures in the ocean surface as well, an artificial intelligence based technique linking the satellite surface observations of the ocean with these sub-surface  quantities, may be envisaged. 
Satellite observations of sea surface temperature (SST), sea surface salinity (SSS), sea surface height anomaly (SSHA) and sea surface wind speed (WS) collocated with MLD, SLD, TCHP derived from in situ measurements (ARGO floats/moored buoys) can be used as training data set where we try develop a relationship between SST, SSS, SSHA, WS and the derived quantities MLD, TCHP and SLD. 

In this problem the participants must develop a software to generate MLD, SLD and TCHP using satellite data (SST, SSS, SSHA, WS)",,AI/ML based system for deriving value added parameters using satellite surface observations,Indian Space Research Organisation (ISRO),Software,NM390,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Short Wave Infra-Red(SWIR) detectors used in satellite imaging cameras suffer from drop outs in pixel and line direction in raw data.

Develop software to reconstruct missing parts of a satellite image so that observers are unable to identify regions that have undergone reconstruction.  Study shall also compare the performance of the proposed with existing state of art technique results.",,Reconstruction of missing data in  Satellite Imagery,Indian Space Research Organisation (ISRO),Software,NM391,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Valles Marineris is Grand Canyon system present along the equator of Mars. The Valles Marineris is a large tectonic crack present on the Martian crust running up-to a length of around 4000 km. Mars Color Camera (MCC) captured multiple images of Valles Marineris at varying spatial resolution which can be used to estimate the depth of the canyon system. 

Develop software to generate depth map of Valles Marineris using image captured by MCC.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Depth Estimation of Valles Marineris using ISRO’s Mars Color Camera (MCC) images,Indian Space Research Organisation (ISRO),Software,NM392,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Bhuvan is widely used for crowd sourcing and millions of photos are uploaded everyday pertaining to different subjects of interest like crops, dams, water bodies, prominent locations, grievances, infrastructure etc. Also, this has become an important platform for most of the ministerial activities, where in accountability and financial sanctions etc are also linked. Such important activities need more focused and automated validation mechanisms for understanding the photographs and relevance for the purpose.  Hence, extracting information from the photograph is essential.

Develop software to automatically locate and extract text from field photographs. For example, given and image containing a traffic sign, the traffic sign should be identified and its text must be extracted.
data set: https://sid.erda.dk/public/archives/daaeac0d7ce1152aea9b61d9f1e19370/published-archive.html",,Field Data Analysis and Automated feature validation from crowd sourced field photos;,Indian Space Research Organisation (ISRO),Software,NM393,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" At present, air pollution is a global problem. India is also a big sufferer of this problem. India signed COP21 agreement for cutting the carbon emissions from 2025. Hence a study identifying the hot spots of pollutants and their transport namely carbon monoxide (CO), sulphur dioxide (SO2) and oxides of nitrogen (NO+NO2) using advanced data analysis techniques.

Satellite provides columnar concentration of these pollutants which are 90% representation of surface concentrations. Pollution sources are mainly from the land surface activities.
Satellite provides these observations on daily basis with different spatial resolutions. Challenges involved in the current statement is mining the datasets from different satellites parameters and providing the final output with moderate spatial resolution on pollution information. Hence information will be useful for change detection analysis. Identification of source pathways.

Participants must develop AI/ML based software/algorithm to identify/analyse
1.	Location of hot spots.
2.	Long-term occurrence of hot spots and changes.  Dataset Links: Satellite based data (freely available), 
Sentinel-5p/TROPOMI (https://s5phub.copernicus.eu/dhus/#/home), 
MOPITT (https://eosweb.larc.nasa.gov/project/mopitt/mopitt_table), 
Aura/OMI (https://giovanni.gsfc.nasa.gov/giovanni/#service=TmAvMp&starttime=&endtime=&dataKeyword=Ozone) and 

Winds (https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=form; https://giovanni.gsfc.nasa.gov/giovanni/#service=TmAvMp&starttime=&endtime=&variableFacets=dataFieldMeasurement%3AWind%3B)",,Air pollution hot spots detection and identifying the source trajectories using ML/AI techniques,Indian Space Research Organisation (ISRO),Software,NM394,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
" Shifting cultivation is an agricultural system involving the clearing and burning of natural vegetation, followed by the cultivation of new fields for a few years. This is followed by a period of fallow during which the vegetation regenerates, after which the cycle begins all over again. This is typically followed in the hilly regions of the country. The cycle is likely to be over 7 to 20 years. 

Using multi-temporal satellite imagery. Develop AI/ML based software/algorithm to map/visualize/analyse
1.	Areas exhibiting shifting cultivation.
2.	Long-term changes.",,Identify shifting cultivation locations in dense temporal stacks,Indian Space Research Organisation (ISRO),Software,NM395,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
" Webportals like Bhuvan get vast amount of feedback from the users. To go through all the feedbacks can be a tedious job. 

Develop software to categorize opinions expressed in feedback forums. This can be utilized for feedback management system. The software must provide the following output.

1)	Classification of individual comments/reviews.
2)	Determining overall rating based on individual comments/reviews. The Multi-Domain Sentiment Dataset contains product reviews taken from Amazon.com from many product types (domains).
http://jmcauley.ucsd.edu/data/amazon/",,Sentiment Analysis from text feedback:,Indian Space Research Organisation (ISRO),Software,NM396,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" As on date, Bhuvan is driven by GUI based features. Develop software for voice based navigation of Bhuvan portal and/or applications listed on Bhuvan portal.

Solution can be provided for at-least 2 languages-
1.  Language-1: Hindi or any other Indian regional language. (Participant may have to prepare the data-sets for desired language, and may also use online datasets, If available)
2. Language-2: English (Participant may use online available datasets).

Specific focus should be on providing voice-based navigation for Web-GIS applications.",,Voice command driven Web-GIS Applications (mobile/ desktop),Indian Space Research Organisation (ISRO),Software,NM397,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
" Bhuvan - The EOS visualisation platform has large amounts of satellite data along with derived information from various sensors and collateral data. Users of Bhuvan are widely interested in downloading data and carrying out change detection analysis for each of their areas of interest as on date. Utilities for change detection on Bhuvan platform, directly using knowledge base / Deep Learning based algorithms for identifying the changes in given / selected time series data and extracting features of interest changed over time will be a very good value addition for water resources, urban dynamics, infrastructure monitoring and disaster management. This is possible only by identification / detection of features on the fly from RS images, which are more amenable for noise from different implicit processes in atmosphere and data processing algorithms. 


Given time series tiles of Bhuvan Imagery / RS image ( 2 dates ) the system should 
a)	Identify changes and highlight areas of change.
b)	Extract features that are evident from image 2 and not in image1, categorise in known lists i.e. water, roads, buildings, parks, trees
c)	Find features that are missing in image2 w.r.t. image 1. Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Change detection and extraction of information / features of interest in RS images using time series information,Indian Space Research Organisation (ISRO),Software,NM398,Sustainable Environment,https://www.sih.gov.in/uploads/logo/no_image.png
"To increase the transmission reliability and better service quality, connectivity through multiple links or networks, i.e., multi-homing, is considered which provides robustness and offers concurrent data transfer over multiple paths. The real-time data streaming requires low delay, jitter free transmission medium. For real-time multiplexed streams, comprising audio, video and data, the transmission reliability requirement is different for each type of stream. So, there is a need of an efficient transmission technique for such multiplexed streams with different reliability parameter settings for each stream over a multi-homed networking environment. It is also required to have a suitable handoff mechanism in case of link failover with minimum handoff latency. 

The participants must design implement and demonstrate transmission protocol with point-to-point real-time Audio, video and data conferencing application over multi-homed network.

DATA : Live Audio, video stream may be generated through webcam and mic. attached to a laptop/desktop machine for testing and evaluation.
Data Set link:https://vedas.sac.gov.in/vcms/en/sih2020.html",,Efficient Communication scheme for Human Space Flight Programme,Indian Space Research Organisation (ISRO),Software,NM399,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
"The objective is to design light weight end to end communication protocol which facilitates satellite link adaptive speech compression schemes. When the satcom link becomes erroneous and information rate needs to be reduced to maintain the link quality, the speech encoding scheme needs to be changed to provide lower rates. The information on type of encoding used needs to be made available to the receiver as part of end to end protocol to support decoding. 

Desired Outcome: The participants must design, implement and demonstrate end to end communication protocol with point-to-point real-time speech communication (voice call) under variable link conditions using different available open source speech compression schemes like G729, CELP, MELP etc. The rate adaptation with link condition to be demonstrated. Participants are encouraged to provide novel ways of determining link quality (self-learning) as part of end to end communication protocol.

DATA: Live speech stream may be generated through laptop mic. And satellite link quality (BER) can be simulated using available tools like MATLAB/C for testing and evaluation.",,Link Adaptive Speech Compression scheme for Human Space Flight Programme,Indian Space Research Organisation (ISRO),Software,NM400,Miscellaneous,https://www.sih.gov.in/uploads/logo/no_image.png
